Type,Bed Room,Bath Room,Floor,city,Area_ft_square,price_million
Condo,3.0,3.0,1.0,Hlaing,1505.0,990.0
Apartment,2.0,1.0,1.0,Ahlon,900.0,335.0
Condo,3.0,3.0,1.0,Tamwe,1950.0,1350.0
House,4.0,2.0,2.5,Dagon Myothit (North),1200.0,700.0
Condo,3.0,2.0,1.0,Bahan,1100.0,720.0
Apartment,1.0,1.0,3.0,Thingangkuun,715.0,110.0
Apartment,2.0,1.0,1.0,Okkalappa South,972.0,365.0
Apartment,1.0,1.0,1.0,Hlaing,625.0,150.0
Condo,3.0,4.0,1.0,Mingalartaungnyunt,2170.0,2387.0
Apartment,3.0,2.0,0.5,Kyeemyindaing,625.0,370.0
Apartment,2.0,1.0,2.0,Yankin,1080.0,330.0
Apartment,2.0,2.0,6.0,Dagon Myothit (South),838.0,155.0
Apartment,1.0,1.0,2.0,Thaketa,972.0,186.0
House,2.0,3.0,5.0,Tamwe,5000.0,6500.0
House,2.0,1.0,2.0,Dagon Myothit (East),1800.0,2000.0
House,6.0,7.0,2.0,Bahan,2800.0,8500.0
Condo,2.0,2.0,1.0,Thingangkuun,1037.0,440.0
Apartment,2.0,1.0,5.0,Thaketa,1026.0,128.5
Apartment,2.0,2.0,1.0,Yankin,1100.0,750.0
House,4.0,3.0,8.0,Hlaing,1835.0,880.0
House,5.0,6.0,3.0,Dagon Myothit (North),1260.0,1290.0
Condo,2.0,2.0,1.0,Hlaing,983.0,499.9
Condo,3.0,3.0,3.0,Kamaryut,1600.0,850.0
Apartment,2.0,1.0,1.0,Lanmadaw,800.0,550.0
Condo,1.0,1.0,7.0,Okkalappa South,900.0,230.0
Condo,2.0,2.0,7.0,Tamwe,1444.0,450.0
Condo,1.0,1.0,6.0,Thanlyin,651.0,345.0
Condo,5.0,3.0,1.0,Mayangone,1959.0,2000.0
Condo,3.0,2.0,9.0,Sanchaung,1400.0,1100.0
Apartment,2.0,1.0,3.0,Okkalappa South,972.0,250.0
Condo,2.0,2.0,7.0,Sanchaung,1250.0,410.0
House,3.0,1.0,2.0,Thaketa,2400.0,1500.0
Apartment,1.0,1.0,4.0,Mayangone,625.0,135.0
Apartment,2.0,1.0,5.0,Thaketa,972.0,133.0
Condo,2.0,2.0,1.0,Okkalappa South,1026.0,398.0
Condo,2.0,1.0,1.0,Okkalappa South,783.0,265.0
Condo,2.0,2.0,1.0,Sanchaung,1250.0,430.0
Condo,3.0,2.0,5.0,Dagon Myothit (Seikkan),836.0,250.0
Condo,2.0,2.0,6.0,Thingangkuun,1026.0,533.0
House,3.0,2.0,2.0,Okkalappa South,1200.0,980.0
Condo,2.0,2.0,1.0,Hlaing,855.0,500.0
Condo,2.0,2.0,1.0,Sanchaung,1056.0,730.0
Condo,4.0,4.0,1.0,Hlaing,1834.0,880.0
Condo,2.0,2.0,1.0,Yankin,1168.0,950.0
Apartment,2.0,1.0,3.0,Okkalappa South,972.0,289.0
Apartment,2.0,2.0,1.0,Thingangkuun,972.0,379.0
Apartment,2.0,2.0,2.0,Okkalappa South,972.0,297.0
House,4.0,4.0,2.0,Mayangone,4500.0,5000.0
House,6.0,5.0,2.0,Hlaing,18370.0,18370.0
Condo,2.0,2.0,5.0,Okkalappa South,918.0,415.0
Condo,3.0,2.0,10.0,Bahan,1800.0,850.0
Condo,3.0,3.0,1.0,Yankin,1800.0,850.0
Condo,3.0,2.0,4.0,Yankin,1685.0,1150.0
Apartment,2.0,1.0,1.0,Thingangkuun,972.0,310.0
Condo,3.0,2.0,5.0,Kamaryut,1300.0,540.0
Apartment,2.0,1.0,4.0,Thaketa,1026.0,160.0
House,5.0,4.0,3.0,Okkalappa South,1200.0,1350.0
House,4.0,3.0,2.0,Okkalappa South,1200.0,1500.0
House,8.0,3.0,3.5,Okkalappa South,1200.0,1200.0
Condo,3.0,3.0,1.0,Tamwe,1500.0,530.0
House,4.0,2.0,2.0,Hlaing,2100.0,1500.0
House,4.0,4.0,3.0,Okkalappa South,1200.0,1300.0
Condo,3.0,2.0,5.0,Dagon Myothit (Seikkan),825.0,270.0
House,3.0,2.0,2.5,Thingangkuun,0.03,565.0
House,3.0,4.0,2.0,Okkalappa South,1200.0,1350.0
House,2.0,3.0,2.0,Okkalappa South,1800.0,1300.0
Condo,1.0,1.0,5.0,Thanlyin,484.0,250.0
Condo,2.0,2.0,1.0,Okkalappa South,1026.0,398.0
House,7.0,3.0,3.0,Dagon Myothit (North),1200.0,795.0
Apartment,2.0,1.0,2.0,Okkalappa South,918.0,185.0
Condo,1.0,2.0,1.0,Dagon Myothit (North),972.0,495.0
Apartment,4.0,2.0,1.0,Dagon Myothit (South),1000.0,430.0
House,1.0,1.0,1.0,Dagon Myothit (North),2400.0,1400.0
Apartment,1.0,1.0,1.0,Thaketa,750.0,158.5
House,5.0,5.0,2.0,Thingangkuun,6956.0,7000.0
Condo,1.0,1.0,12.0,Lanmadaw,405.0,1.4
House,4.0,4.0,2.0,Thaketa,3600.0,1700.0
Condo,3.0,2.0,4.0,Yankin,1685.0,1150.0
Condo,1.0,2.0,8.0,Okkalappa South,935.0,272.0
Condo,2.0,2.0,5.0,Okkalappa South,935.0,278.0
Apartment,2.0,1.0,1.0,Okkalappa South,972.0,225.0
Apartment,1.0,1.0,2.0,Thingangkuun,625.0,133.9
House,4.0,4.0,2.0,Ahlon,4680.0,2600.0
House,5.0,5.0,2.5,Thingangkuun,2600.0,3500.0
House,4.0,3.0,2.0,Yankin,4600.0,2700.0
House,4.0,3.0,2.0,Yankin,2640.0,4500.0
Apartment,2.0,2.0,3.0,Okkalappa South,972.0,288.0
Condo,2.0,1.0,5.0,Sanchaung,1250.0,430.0
Condo,3.0,2.0,6.0,Sanchaung,1300.0,420.0
Apartment,1.0,1.0,6.0,Tamwe,650.0,120.0
Condo,6.0,3.0,10.0,Bahan,1680.0,650.0
Apartment,3.0,1.0,2.0,Okkalappa South,918.0,212.0
Apartment,2.0,1.0,3.0,Okkalappa South,1026.0,205.0
Apartment,2.0,1.0,1.0,Okkalappa South,972.0,269.5
Condo,2.0,2.0,6.0,Thingangkuun,918.0,395.0
Apartment,1.0,1.0,3.0,Thingangkuun,625.0,133.9
Apartment,1.0,1.0,5.0,Thingangkuun,625.0,80.0
Apartment,1.0,1.0,5.0,Hlaing,860.0,190.0
Apartment,2.0,2.0,0.5,Hlaing,962.5,560.0
House,5.0,2.0,2.0,Hlaing,4200.0,7300.0
Apartment,1.0,1.0,1.0,Sanchaung,625.0,235.0
Apartment,2.0,2.0,5.0,Okkalappa South,972.0,160.0
Apartment,2.0,1.0,1.0,Okkalappa South,972.0,280.0
Apartment,2.0,1.0,4.0,Okkalappa South,972.0,255.0
Apartment,2.0,1.0,5.0,Okkalappa South,972.0,215.0
Apartment,1.0,1.0,5.0,Thingangkuun,750.0,98.0
Apartment,2.0,1.0,6.0,Tamwe,900.0,120.0
Apartment,2.0,1.0,3.0,Tamwe,900.0,400.0
Apartment,2.0,1.0,0.5,Tamwe,715.0,275.0
Apartment,2.0,1.0,3.0,Thingangkuun,972.0,175.0
Condo,3.0,2.0,1.0,Mayangone,1260.0,900.0
Condo,2.0,2.0,1.0,Thaketa,750.0,158.0
Apartment,1.0,1.0,6.0,Okkalappa South,972.0,117.0
Condo,1.0,1.0,1.0,Okkalappa South,972.0,225.0
Condo,1.0,2.0,8.0,Okkalappa North,918.0,272.0
Apartment,2.0,1.0,5.0,Okkalappa South,972.0,136.0
House,3.0,1.0,1.0,Dagon Myothit (North),1200.0,360.0
House,2.0,2.0,2.0,Dagon Myothit (South),1200.0,295.0
House,2.0,1.0,2.0,Dagon Myothit (North),1200.0,1250.8
House,2.0,1.0,2.0,Dagon Myothit (North),2400.0,2500.0
House,1.0,1.0,1.0,Dagon Myothit (North),1540.0,880.0
Apartment,2.0,1.0,2.0,Okkalappa South,918.0,185.0
Apartment,1.0,1.0,1.0,Hlaing,625.0,99.5
Condo,1.0,2.0,7.0,Sanchaung,2000.0,599.0
Apartment,1.0,1.0,5.0,Thaketa,1026.0,179.0
House,4.0,2.0,2.0,Dagon Myothit (North),1200.0,336.0
House,2.0,2.0,2.0,Dagon Myothit (North),1380.0,1200.0
House,5.0,3.0,3.0,Dagon Myothit (North),2520.0,2400.0
House,6.0,3.0,3.0,Dagon Myothit (North),2820.0,1600.0
Apartment,2.0,1.0,1.0,Hlaing,720.0,220.0
House,1.0,2.0,1.0,Dagon Myothit (North),1560.0,450.0
Apartment,2.0,1.0,2.0,Okkalappa South,972.0,265.0
Apartment,2.0,1.0,4.0,Tamwe,1200.0,240.0
Apartment,2.0,1.0,3.0,Thingangkuun,990.0,175.0
House,4.0,2.0,2.0,Dagon Myothit (North),4015.0,3580.0
House,1.0,2.0,2.0,Dagon Myothit (East),2850.0,1050.0
House,3.0,2.0,2.0,Thingangkuun,1508.0,540.0
House,3.0,3.0,2.0,Thingangkuun,3600.0,1850.0
House,6.0,2.0,2.0,Dagon Myothit (South),1200.0,295.0
Condo,3.0,2.0,1.0,Bahan,2000.0,920.0
Condo,4.0,1.0,5.0,Botahtaung,2000.0,990.0
Apartment,1.0,1.0,1.0,Kamaryut,625.0,207.0
Apartment,2.0,1.0,4.0,Hlaing,990.0,280.0
Apartment,1.0,1.0,4.0,Hlaing,625.0,155.0
House,4.0,3.0,2.0,Dagon Myothit (North),1380.0,870.0
Condo,2.0,1.0,1.0,Thaketa,918.0,320.0
House,2.0,1.0,2.0,Okkalappa North,2400.0,1300.0
Apartment,1.0,2.0,1.0,Dagon Myothit (North),918.0,320.0
Apartment,1.0,1.0,4.0,Mayangone,630.0,133.5
Condo,2.0,2.0,1.0,Thingangkuun,1059.0,640.0
Apartment,2.0,1.0,1.0,Okkalappa South,972.0,365.0
Apartment,2.0,1.0,5.0,Thaketa,1026.0,179.0
Apartment,1.0,1.0,5.0,Dawbon,625.0,99.0
Apartment,1.0,1.0,1.0,Okkalappa South,687.5,160.0
Apartment,2.0,1.0,8.0,Sanchaung,900.0,158.0
Apartment,1.0,1.0,4.0,Mayangone,625.0,133.5
Apartment,1.0,1.0,1.0,Thingangkuun,625.0,190.0
Apartment,1.0,1.0,5.0,Mayangone,720.0,85.5
Condo,2.0,2.0,1.0,Yankin,1650.0,990.0
Condo,3.0,3.0,1.0,Hlaing,1728.0,1300.0
Condo,3.0,3.0,1.0,Tamwe,1950.0,1350.0
Condo,2.0,2.0,7.0,Pazundaung,1500.0,470.0
House,4.0,1.0,2.0,Okkalappa South,1200.0,650.0
House,3.0,2.0,2.0,Okkalappa South,1800.0,2200.0
Apartment,2.0,1.0,1.0,Sanchaung,1125.0,395.0
House,1.0,1.0,1.0,Okkalappa North,1200.0,320.0
Apartment,2.0,1.0,3.0,Hlaing,875.0,250.0
Apartment,2.0,1.0,5.0,Okkalappa South,972.0,136.0
Condo,1.0,1.0,7.0,Thaketa,972.0,258.0
House,4.0,1.0,2.0,Okkalappa South,1200.0,650.0
Condo,1.0,1.0,3.0,Thanlyin,651.0,343.0
Apartment,1.0,1.0,1.0,Thingangkuun,625.0,148.5
Apartment,2.0,1.0,1.0,Thaketa,1200.0,270.0
Apartment,2.0,1.0,5.0,Okkalappa South,972.0,136.0
Condo,3.0,3.0,1.0,Yankin,1500.0,850.0
Condo,7.0,7.0,1.0,Yankin,2800.0,1550.0
House,7.0,5.0,3.0,Dagon Myothit (North),5625.0,3600.0
House,4.0,2.0,2.0,Insein,4275.0,1800.0
House,7.0,6.0,2.0,Others,12800.0,2800.0
House,8.0,5.0,3.5,Mayangone,5600.0,3380.0
Condo,3.0,2.0,8.0,Mayangone,1500.0,660.0
Condo,2.0,2.0,8.0,Okkalappa South,1026.0,370.0
Condo,2.0,2.0,8.0,Mayangone,1440.0,520.0
Condo,3.0,3.0,1.0,Hlaing,970.0,365.0
Condo,3.0,3.0,1.0,Thingangkuun,1974.0,780.0
House,5.0,5.0,2.0,Dagon Myothit (North),2400.0,2200.0
Apartment,1.0,1.0,7.0,Okkalappa South,972.0,258.0
Apartment,2.0,1.0,5.0,Thaketa,990.0,138.0
Apartment,2.0,1.0,6.0,Thaketa,1026.0,127.0
Apartment,3.0,2.0,3.0,Tamwe,1200.0,380.0
Condo,4.0,4.0,1.0,Yankin,2160.0,1200.0
House,6.0,5.0,2.0,Yankin,4200.0,8000.0
Apartment,4.0,3.0,1.0,Yankin,1000.0,295.0
Apartment,1.0,1.0,2.0,Dawbon,625.0,113.0
House,1.0,2.0,1.0,Dagon Myothit (Seikkan),1200.0,350.0
Condo,3.0,3.0,1.0,Thingangkuun,1800.0,850.0
Condo,2.0,2.0,3.0,Thanlyin,946.0,435.0
Apartment,1.0,1.0,0.5,Kyeemyindaing,625.0,250.0
Apartment,1.0,1.0,2.0,Thaketa,972.0,163.0
Condo,3.0,3.0,1.0,Yankin,1771.0,1450.0
Apartment,3.0,1.0,1.0,Thingangkuun,1026.0,220.0
Condo,2.0,2.0,3.0,Thanlyin,905.0,410.0
Apartment,2.0,1.0,2.0,Sanchaung,687.5,170.0
Condo,2.0,1.0,2.0,Dagon Myothit (Seikkan),600.0,180.0
House,4.0,3.0,2.0,Others,4800.0,1750.0
House,6.0,5.0,3.5,Bahan,5600.0,5500.0
Apartment,1.0,1.0,0.5,Thingangkuun,625.0,265.0
House,2.0,2.0,2.0,Okkalappa South,1200.0,555.0
Apartment,1.0,1.0,3.0,Okkalappa South,972.0,230.0
Apartment,1.0,1.0,5.0,Thaketa,918.0,130.0
Apartment,1.0,1.0,1.0,Thingangkuun,625.0,117.0
Apartment,2.0,1.0,1.0,Okkalappa South,972.0,335.0
House,6.0,3.0,2.0,Dagon Myothit (North),2400.0,750.0
Apartment,2.0,2.0,4.0,Yankin,1200.0,435.0
Apartment,4.0,2.0,4.0,Thingangkuun,1566.0,370.0
Apartment,2.0,1.0,2.0,Thingangkuun,1150.0,330.0
Apartment,1.0,1.0,1.0,Ahlon,625.0,165.0
Apartment,2.0,1.0,2.0,Okkalappa South,1026.0,248.0
Apartment,1.0,1.0,1.0,Ahlon,650.0,198.0
Apartment,3.0,2.0,1.0,Okkalappa South,972.0,385.0
House,4.0,2.0,3.0,Dagon Myothit (North),1200.0,750.0
House,4.0,4.0,2.0,Dagon Myothit (North),1200.0,700.0
House,6.0,5.0,3.0,Dagon Myothit (North),2400.0,1500.0
Apartment,2.0,1.0,4.0,Dagon Myothit (North),1080.0,189.0
Apartment,2.0,1.0,1.0,Sanchaung,1080.0,333.0
Apartment,1.0,1.0,4.0,Tamwe,715.0,129.5
Apartment,2.0,1.0,1.0,Yankin,500.0,200.0
Apartment,2.0,1.0,3.0,Dagon Myothit (North),962.5,300.0
Apartment,1.0,1.0,5.0,Sanchaung,687.5,125.0
Apartment,1.0,1.0,6.0,Thingangkuun,625.0,85.0
Apartment,1.0,1.0,5.0,Thingangkuun,625.0,89.0
Apartment,1.0,1.0,3.0,Thingangkuun,625.0,155.0
Apartment,1.0,1.0,6.0,Dawbon,625.0,90.0
Apartment,1.0,1.0,2.0,Dawbon,625.0,90.0
Apartment,1.0,1.0,6.0,Sanchaung,625.0,137.5
Apartment,1.0,1.0,3.0,Tamwe,1020.0,185.0
Apartment,2.0,1.0,3.0,Tamwe,1120.0,280.0
House,2.0,2.0,2.0,Dagon Myothit (North),1320.0,480.0
Apartment,4.0,3.0,0.5,Yankin,1000.0,295.0
House,4.0,4.0,2.0,Dagon Myothit (North),1200.0,1260.0
House,3.0,3.0,2.0,Dagon Myothit (North),1200.0,1150.0
Apartment,1.0,1.0,1.0,Mayangone,625.0,138.0
House,6.0,5.0,2.0,Mingalartaungnyunt,6600.0,6000.0
Condo,2.0,2.0,1.0,Hlaing,1150.0,850.0
Apartment,2.0,1.0,6.0,Thaketa,972.0,145.0
House,3.0,2.0,2.0,Dagon Myothit (North),1200.0,920.0
Apartment,1.0,1.0,4.0,Thingangkuun,972.0,110.0
Apartment,1.0,1.0,4.0,Dagon Myothit (North),1026.0,120.0
Condo,3.0,2.0,3.0,Tamwe,1250.0,480.0
Condo,3.0,3.0,1.0,Yankin,1479.0,1350.0
Condo,2.0,2.0,1.0,Tamwe,900.0,430.0
House,5.0,4.0,3.0,Others,9375.0,6800.0
House,3.0,3.0,1.5,Mayangone,6200.0,6000.0
House,4.0,3.0,2.0,Hlaing,6600.0,4950.0
House,2.0,1.0,1.0,Dagon Myothit (North),2400.0,1300.0
House,2.0,2.0,1.5,Dagon Myothit (North),2400.0,1000.0
Condo,3.0,2.0,3.0,Tamwe,1250.0,480.0
Apartment,1.0,1.0,4.0,Dagon Myothit (North),1026.0,120.0
Apartment,2.0,2.0,6.0,Okkalappa South,1320.0,270.0
Apartment,3.0,2.0,3.0,Lanmadaw,900.0,400.0
Condo,2.0,1.0,5.0,Kyeemyindaing,900.0,320.0
Condo,1.0,2.0,5.0,Tamwe,1012.0,350.0
Condo,2.0,2.0,1.0,Yankin,1168.0,950.0
Apartment,2.0,1.0,5.0,Thingangkuun,972.0,219.5
Condo,3.0,3.0,2.0,Hlaing,2200.0,1150.0
House,3.0,2.0,2.0,Thingangkuun,5740.0,6000.0
Condo,3.0,2.0,1.0,Yankin,1300.0,1580.0
Condo,3.0,2.0,14.0,Dagon Myothit (Seikkan),846.0,280.0
Apartment,1.0,1.0,1.0,Sanchaung,625.0,235.0
Apartment,1.0,1.0,2.0,Okkalappa South,972.0,210.0
Condo,2.0,1.0,1.0,Yankin,517.0,480.0
House,3.0,2.0,2.0,Dagon Myothit (North),2400.0,1180.0
House,1.0,1.0,2.0,Dagon Myothit (North),2820.0,1000.0
House,4.0,3.0,1.0,Dagon Myothit (North),6643.0,3500.0
Apartment,2.0,1.0,5.0,Thingangkuun,972.0,219.5
House,4.0,5.0,2.0,Okkalappa South,1800.0,1980.0
Condo,2.0,2.0,8.0,Thaketa,1026.0,285.0
Apartment,2.0,1.0,1.0,Okkalappa South,972.0,269.5
House,4.0,3.0,2.0,Mayangone,5671.0,1100.0
Condo,2.0,2.0,3.0,Kamaryut,950.0,420.0
Apartment,1.0,1.0,5.0,Thingangkuun,625.0,118.0
Condo,3.0,2.0,6.0,Sanchaung,1800.0,570.0
Apartment,1.0,1.0,6.0,Tamwe,625.0,110.0
House,3.0,2.0,2.0,Dagon Myothit (North),4015.0,3850.0
Condo,2.0,2.0,1.0,Okkalappa South,972.0,390.0
Apartment,2.0,1.0,3.0,Okkalappa South,972.0,268.0
Condo,2.0,2.0,5.0,Okkalappa South,918.0,355.0
House,4.0,5.0,2.0,Yankin,5400.0,7900.0
House,10.0,10.0,4.0,Yankin,4200.0,7500.0
Apartment,1.0,1.0,1.0,Dawbon,625.0,125.0
Apartment,2.0,2.0,5.0,Thingangkuun,972.0,225.0
Apartment,2.0,1.0,1.0,Tamwe,900.0,245.0
Apartment,2.0,2.0,2.0,Okkalappa South,972.0,297.0
Apartment,2.0,2.0,3.0,Yankin,1060.0,229.0
Apartment,2.0,2.0,4.0,Okkalappa South,918.0,279.0
House,6.0,6.0,2.0,Yankin,4800.0,8000.0
House,5.0,5.0,3.0,Dagon Myothit (North),2400.0,880.0
House,3.0,2.0,2.0,Dagon Myothit (North),1200.0,850.0
House,6.0,3.0,2.0,Kamaryut,7410.0,5500.0
House,4.0,4.0,2.0,Kamaryut,4900.0,6200.0
House,6.0,5.0,2.0,Kamaryut,7125.0,5500.0
House,5.0,3.0,2.0,Kamaryut,3600.0,4200.0
House,6.0,6.0,2.0,Hlaing,4200.0,7000.0
House,5.0,5.0,2.0,Dagon Myothit (North),2400.0,1600.0
House,3.0,3.0,1.0,Dagon Myothit (North),2400.0,1500.0
Apartment,3.0,2.0,2.0,Thingangkuun,900.0,250.0
House,3.0,3.0,2.0,Mayangone,2831.0,1700.0
House,5.0,5.0,5.0,Mayangone,4704.0,7850.0
Condo,3.0,3.0,1.0,Hlaing,1505.0,990.0
Condo,3.0,3.0,1.0,Yankin,1100.0,950.0
Condo,2.0,1.0,11.0,Lanmadaw,650.0,520.0
Apartment,2.0,1.0,4.0,Okkalappa South,972.0,270.0
Apartment,1.0,1.0,1.0,Dawbon,625.0,129.7
Apartment,2.0,2.0,1.0,Dagon Myothit (North),972.0,360.0
Apartment,2.0,1.0,1.0,Dagon Myothit (North),960.0,350.0
Condo,3.0,2.0,1.0,Yankin,1650.0,1250.0
Apartment,1.0,1.0,5.0,Thingangkuun,630.0,117.0
House,5.0,4.0,3.0,Others,9375.0,6800.0
Condo,3.0,2.0,7.0,Okkalappa South,1045.0,0.8
Apartment,2.0,1.0,3.0,Thaketa,1045.0,149.5
Apartment,1.0,1.0,5.0,Mayangone,630.0,133.0
Apartment,2.0,1.0,6.0,Tamwe,1375.0,170.0
Apartment,2.0,1.0,3.0,Pazundaung,900.0,290.0
House,5.0,5.0,3.0,Dagon Myothit (North),1260.0,1290.0
House,1.0,1.0,2.0,Dagon Myothit (East),1200.0,380.0
Apartment,3.0,2.0,1.0,Thingangkuun,1750.0,480.0
Apartment,3.0,3.0,1.0,Mingalartaungnyunt,825.0,950.0
Apartment,1.0,1.0,1.0,Okkalappa South,660.0,160.0
Condo,4.0,4.0,1.0,Yankin,2000.0,1400.0
Condo,2.0,1.0,1.0,Thanlyin,938.0,450.0
Condo,3.0,3.0,1.0,Hlaing,1505.0,990.0
Condo,3.0,2.0,8.0,Dagon Myothit (North),900.0,240.0
Apartment,2.0,1.0,1.0,Okkalappa South,990.0,328.0
Apartment,1.0,1.0,1.0,Okkalappa South,729.0,279.0
Apartment,1.0,1.0,0.5,Okkalappa South,756.0,315.0
Condo,1.0,2.0,8.0,Tamwe,1150.0,350.0
Apartment,2.0,1.0,3.0,Okkalappa South,972.0,285.0
Condo,2.0,1.0,3.0,Insein,1056.0,265.0
Apartment,2.0,1.0,3.0,Okkalappa South,972.0,288.0
House,1.0,4.0,2.0,Dagon Myothit (South),1200.0,670.0
Apartment,2.0,1.0,3.0,Okkalappa South,972.0,275.0
Condo,2.0,1.0,8.0,Thaketa,1026.0,290.0
Apartment,2.0,1.0,3.0,Thaketa,1026.0,149.5
House,3.0,4.0,2.5,Dagon Myothit (North),1260.0,1180.0
Condo,2.0,1.0,4.0,Okkalappa South,972.0,285.0
House,4.0,5.0,2.0,Dagon Myothit (North),2400.0,1250.0
House,4.0,3.0,1.0,Dagon Myothit (North),2400.0,2300.0
Condo,1.0,2.0,4.0,Tamwe,1012.0,350.0
Condo,4.0,3.0,1.0,Mayangone,1959.0,2000.0
House,3.0,3.0,3.0,Dagon Myothit (North),1260.0,1150.0
Apartment,2.0,1.0,6.0,Okkalappa South,761.6,160.0
Apartment,1.0,1.0,1.0,Thingangkuun,680.4,300.0
House,4.0,2.0,2.0,Sanchaung,1500.0,2900.0
Apartment,2.0,2.0,3.0,Okkalappa South,972.0,263.0
Apartment,1.0,1.0,5.0,Sanchaung,625.0,155.0
Apartment,1.0,1.0,5.0,Sanchaung,625.0,175.0
Apartment,2.0,1.0,4.0,Okkalappa South,972.0,290.0
Apartment,1.0,1.0,1.0,Dawbon,625.0,135.0
